Transaction ID,Account Number,Sort Code,Bank,SWIFT Code,Check Digits,Country Code
9224,32950330,58-34-61,HSBC,HBUK,4B,GB
1062,50400945,75-18-94,Barclays Bank,BARC,22,GB
2953,80259094,16-15-74,Barclays Bank,BARC,22,GB
9530,74379515,70-70-05,Data Source Bank,DSBX,12,GB
8629,83955552,65-35-80,Natwest,NWBK,2L,GB
7268,96412639,88-75-24,Natwest,NWBK,2L,GB
2340,82753835,95-74-19,HSBC,HBUK,4B,GB
7485,63007765,63-46-17,Lloyds Bank,LOYD,C1,GB
9096,32710603,74-25-95,HSBC,HBUK,4B,GB
2797,47474979,36-63-21,Halifax,HLFX,22,GB
9195,96432979,29-36-99,Barclays Bank,BARC,22,GB
2868,53579089,81-89-96,HSBC,HBUK,4B,GB
3270,42126094,16-71-07,Natwest,NWBK,2L,GB
8813,83475180,63-58-91,Lloyds Bank,LOYD,C1,GB
7983,58775796,67-18-97,Natwest,NWBK,2L,GB
9373,44568613,24-15-12,HSBC,HBUK,4B,GB
2021,72261023,59-17-51,Lloyds Bank,LOYD,C1,GB
6764,10570182,29-72-39,Data Source Bank,DSBX,12,GB
3286,47326725,21-85-30,Halifax,HLFX,22,GB
7423,75616805,49-31-26,Halifax,HLFX,22,GB
